Lineage,Total_Isolates
1,1
1.1,1
1.1.1,3
1.1.1.1,3
1.1.1.1.1,23
1.1.1.2,25
1.1.2,170
1.1.3,31
1.2.1,28
1.2.1.1.1,8
1.2.1.1.2,3
1.2.2,39
1.2.2.1,41
1.2.2.2,15
2.1,5
2.2,1
2.2.1,2510
2.2.1.1,69
2.2.1.1.1,644
2.2.1.1.1.i1,6
2.2.1.1.1.i2,2
2.2.1.1.1.i3,48
2.2.1.1.2,12
2.2.1.2,1
2.2.2,253
3,140
3.1,2
3.1.1,148
3.1.1.,1
3.1.1.i1,15
3.1.1.i2,29
3.1.2,9
3.1.2.1,8
3.1.2.2,1
3.2,1
3.2.1,1
4,45
4.1,37
4.1.1,4
4.1.1.1,16
4.1.1.2,5
4.1.1.3,64
4.1.2,36
4.1.2.1,224
4.1.i1.1.1,1
4.1.i1.1.1.1,267
4.1.i1.1.1.2,5
4.1.i1.1.2,3
4.1.i1.2.1,131
4.1.i1.2.2,4
4.1.i2.1,1
4.2,2
4.2.1,539
4.2.1.1.1.1.1.1.i1,119
4.2.1.1.1.1.1.1.i2,32
4.2.1.1.1.1.2,28
4.2.1.1.1.2.1.1.1.1.1,17
4.2.1.1.1.2.1.1.1.1.2,7
4.2.1.1.1.2.1.2,1
4.2.1.1.1.2.2.1.1.1.2,3
4.2.1.1.1.2.2.1.1.2,2
4.2.1.1.1.2.2.1.2,1
4.2.1.1.2,47
4.2.1.2.1.1,1
4.2.1.2.1.1.i1,92
4.2.1.2.1.1.i2,8
4.2.1.2.1.1.i3.1,50
4.2.1.2.1.1.i3.2,42
4.2.1.2.1.1.i4.1,219
4.2.1.2.1.2,3
4.2.1.2.2.1,3
4.2.1.2.2.1.1,59
4.2.1.2.2.1.2,12
4.2.1.2.2.2,21
4.2.2,27
4.2.2.1,32
4.2.2.2.1,19
4.2.2.2.2,2
4.3,1
4.3.1,2
4.3.2,15
4.3.2.1,27
4.3.3,370
4.3.4,2
4.3.4.1,71
4.3.4.2,86
4.3.4.2.1,13
4.4,1
4.4.1.1,91
4.4.1.2,12
4.4.2,107
4.5,82
4.6,9
4.6.1.1,8
4.6.1.2,6
4.6.2,31
4.6.2.2,7
4.7,34
4.8,402
4.9,64
5,1
6,1
BOV_AFRI,20
